,0,1,2,3,train_loss,val_loss
42,2,128.0,,,0.04973819176599445,0.17567290417863055
43,2,,,,0.0723870931935395,0.15464943556574184
44,16,256.0,32.0,,0.029037295480920017,0.19187606951516353
45,64,64.0,64.0,,0.028164986747255944,0.18331172312687594
46,4,8.0,128.0,8.0,0.06767727673284829,0.19020420150785503
47,2,8.0,16.0,8.0,0.0508982748827077,0.17146936406917576
48,16,16.0,64.0,,0.030078357402227026,0.18404747722426096
49,128,8.0,16.0,,0.03121097963811023,0.18332804546965598
50,128,8.0,64.0,8.0,0.032680200568550664,0.17747616140087866
51,32,16.0,,,0.029825349203676552,0.17503567761250913
52,16,,,,0.0362224017213863,0.18876075327997013
53,128,32.0,128.0,,0.028389167914265937,0.18427615843500414
54,32,32.0,4.0,8.0,0.02860852183279113,0.17930287300895265
55,128,2.0,4.0,,0.08620687328593625,0.13175304493168624
56,128,256.0,,,0.029592976657993295,0.18079180883138177
57,2,256.0,,,0.05226002686845719,0.17526376437534882
58,8,,,,0.03848884909306535,0.18299477367032002
59,4,256.0,,,0.0384147764645671,0.19168487570421053
60,128,64.0,2.0,128.0,0.13550654508340454,0.10220066651036908
61,128,4.0,,,0.05829121799881674,0.1542351080848409
62,16,4.0,,,0.03380551865646951,0.18625467524485864
63,32,16.0,128.0,,0.029936188191842142,0.18791745167083249
64,32,256.0,32.0,,0.028313539710502277,0.18750107892356174
65,32,128.0,8.0,16.0,0.02744816679447162,0.18637153697751074
66,16,32.0,16.0,16.0,0.029465497584125748,0.1982789432065541
67,8,16.0,2.0,2.0,0.10492325711471918,0.07275106897373658
68,64,8.0,4.0,,0.029297223259072823,0.1750130796022426
69,16,32.0,2.0,,0.05730294063494417,0.16397803361680377
70,256,32.0,16.0,,0.028298406651907436,0.1820575661836365
71,32,128.0,128.0,2.0,0.1061127528101297,0.1068668639488458
72,8,64.0,8.0,,0.03122668020161785,0.18260539298914666
73,16,128.0,2.0,,0.10380682934387513,0.08110606513964712
74,8,128.0,16.0,4.0,0.06197500287810216,0.19216884299234038
75,64,16.0,,,0.02998889101897347,0.18440996875497126
76,128,128.0,2.0,64.0,0.1343753270479076,0.07553966925300966
77,2,32.0,32.0,,0.0484903614407578,0.18684416267888057
78,32,256.0,8.0,256.0,0.10567655961549517,0.10482815095502886
79,8,8.0,,,0.03443552638915925,0.18894362796179034
80,128,4.0,64.0,,0.031167803217744913,0.18283733974840727
81,128,256.0,2.0,2.0,0.1650705793841857,0.07742035448016282
82,4,8.0,32.0,256.0,0.03927487191093025,0.1774626640445853
83,4,2.0,,,0.08844701873704842,0.12877848868900538
84,8,32.0,8.0,,0.03254023939951499,0.18436705523670524
85,4,2.0,16.0,,0.06880553737079396,0.1616137905469034
86,128,32.0,32.0,,0.027540693146263562,0.1863300547478388
87,64,2.0,,,0.08319715160028976,0.10903648428264522
88,8,128.0,256.0,256.0,0.03309616087061394,0.18280795246298007
89,8,16.0,2.0,,0.08544559903187224,0.11888776042411334
90,256,64.0,16.0,,0.027791367039077162,0.19013012166480123
91,256,256.0,128.0,,0.027920607935915283,0.18219615562182467
92,16,8.0,32.0,16.0,0.03182733825323138,0.1857737647424101
93,2,16.0,64.0,8.0,0.05034294479934086,0.1761987226656205
94,16,4.0,256.0,,0.03281712553868358,0.1873934970116206
95,8,2.0,16.0,,0.03753577916244663,0.17430955187106562
96,4,4.0,8.0,32.0,0.04059524882706144,0.1790703549339171
97,8,8.0,16.0,4.0,0.05587366837260625,0.13630861651961082
98,256,64.0,2.0,,0.08037813371347415,0.1325864584999571
99,64,4.0,8.0,16.0,0.030726848950456954,0.17950034327440698
100,256,64.0,256.0,2.0,0.08799370236367299,0.15181898891989096
101,2,16.0,,,0.04964387404782926,0.1734994678364253
102,16,32.0,128.0,64.0,0.03099764718677856,0.1873881508657725
