,0,1,train_loss,val_loss
33,"[4, 2]",[8],26.68078723277022,997.8672472296589
34,"[64, 16, 128]","[8, 2]",47.58518037674766,33.42109802743663
35,"[64, 4]",[256],,
36,"[256, 16, 256]","[64, 8, 32, 256]",,
37,"[128, 32]","[128, 32, 32, 64]",13.407407292787541,16.304580941054482
38,[64],"[16, 8]",28.339893293074937,17.77978149713381
39,[256],[32],26.2215973985072,26.321836498936882
40,"[32, 4, 256, 32]","[128, 2, 16, 64]",17.46331263620925,14.121358972091391
41,"[64, 2, 256, 32]","[128, 128]",25.978072748541834,13.46385186061911
42,"[4, 16]","[16, 4]",24.441116968460705,24.187758779007453
43,"[128, 64, 8]","[32, 256, 4, 16]",13.355394172942995,13.305559107771387
44,"[256, 8]","[128, 64, 32]",109.01669028867295,78.89329307352071
45,"[8, 256]","[4, 16, 4, 256]",13.012895442214994,12.621117328645093
46,"[128, 4, 4]","[4, 4, 16]",13.339777574181557,12.429921182990075
47,[8],"[256, 16]",787.0541952477033,93.91975413794104
48,"[64, 64]","[16, 128]",,
49,[64],"[32, 16]",15.121402478425399,15.553892139821594
50,"[2, 16, 4]","[64, 32, 256]",190.98329785495665,19.477640312521356
51,[4],"[8, 256, 8, 128]",17.58415216890067,16.60413633700298
52,"[32, 16, 64, 16]","[2, 128, 32, 128]",13.273980421641598,10.501144702019896
53,"[256, 256, 256, 128]",[32],,
54,[8],"[4, 2, 16]",12.963511978396255,13.338882693700167
55,[256],"[128, 64]",17.43079901414978,24.55448521251426
56,[4],[2],12.417536143819598,11.785003623129072
57,[8],[128],1400.9228610066866,369.2059916543289
58,"[2, 256, 32, 32]",[4],20.18245573874642,10.789925520410359
59,"[8, 8]","[256, 2, 4]",16.862164579057396,14.716424274289091
60,[64],"[64, 128, 256, 2]",25.798514158745498,1027.0258126140677
61,"[16, 128, 256, 16]","[32, 32, 64]",,
62,"[256, 32, 128]",[64],28.287886826818085,65.46154793984863
63,"[128, 64]","[32, 8, 32, 32]",,
64,"[256, 32, 16, 64]","[16, 16, 256, 256]",,
65,"[64, 8]","[64, 8, 64, 128]",15.580251841232828,
66,"[32, 256, 8]","[128, 256]",,
67,"[128, 4]","[256, 4, 8]",15.151261998172687,10.578075089697604
68,"[256, 32, 4]",[2],,
69,"[32, 8, 8]","[8, 2, 4, 256]",247.22044398519677,16639.55732380841
70,"[4, 256, 8]","[128, 2]",,
71,"[128, 64, 4, 4]","[32, 16, 4, 2]",24.397972854370654,14.202883961923094
72,[8],"[4, 64]",523.8254898990886,63.633560396329216
73,"[2, 16]","[16, 32, 4]",,
74,"[64, 256, 2]","[256, 128, 256]",,
75,[32],[32],105.7527119224983,20.402186138524634
76,"[32, 128]",[256],483.8326748658525,55.89128547170889
77,"[2, 4, 128]","[256, 64]",20.842048547925568,25.232968118087104
78,"[16, 8, 64]","[32, 32, 32]",21.74632568962354,19.449321011661187
79,"[32, 2]",[128],192.61120297205196,64.02936438419249
80,[2],[256],,
81,"[2, 32]","[2, 32, 256, 16]",63861.49740717223,66.70910474161738
82,"[8, 8, 16, 128]","[128, 128]",54.57446128481351,31.63291938618149
83,"[2, 128, 256, 32]",[32],35.138734833627936,15.276940986497896
84,"[256, 256, 16]",[8],,
85,[128],"[4, 32, 8]",116.25332542592676,13.917118761681992
86,[2],"[16, 16]",59.55857455856298,16.023558950955454
87,"[64, 4]",[2],15.394994625054625,7.716068089756627
88,[64],"[32, 16, 16, 16]",15.443288127063411,14.98694554247286
89,"[32, 4]","[256, 2]",16.388412123273493,17.49975490843472
90,[16],"[128, 64, 64, 64]",16.105927677742923,176051.48793481494
91,"[16, 256, 2]","[16, 16, 8, 64]",,
92,[8],[8],14.021508684138892,9.40346565797925
93,[8],"[256, 4]",18.52383639860283,39.818527985092096
94,"[4, 16, 64]",[256],,
95,"[8, 128, 64, 64]","[256, 32]",,
96,"[32, 128, 16]","[32, 64, 256]",19.75116288431912,119.79461347154947
97,"[8, 2]","[32, 4, 4]",14.175634742366784,11.533092791974223
98,[2],"[16, 256, 16]",13.795639203467173,18.283204315460246
99,"[16, 128, 16, 256]","[16, 64, 128, 32]",,
100,"[32, 256, 16, 2]","[2, 2, 16]",,
101,"[16, 4, 32]","[128, 64, 8, 256]",12.905180633251513,13.941339722968964
102,"[16, 16]",[4],23483.410748339054,764.3216605180403
103,"[2, 16]","[2, 2, 128]",16.275994849059895,14.528287696669931
104,"[256, 8, 128]","[256, 4]",985.2147301550157,71.34367931349769
105,[32],"[2, 256, 32, 32]",338.8332873203341,25606.2336116509
106,"[128, 4, 8, 128]","[8, 4]",,
107,"[4, 4, 256, 128]",[16],16.050599084385713,17.881855741778146
108,"[8, 128, 32]","[4, 16, 256]",31.515127812709498,37.95237481303837
109,"[2, 2, 16]",[128],27.51090901610353,26.040362043510314
110,[16],"[8, 8]",68.61001151061774,442.01891681899514
111,"[128, 4]","[2, 2]",,
112,[256],[8],13.977663485685543,23.90288356279549
113,"[4, 8, 64, 2]","[32, 8]",4634.605881889526,17.232412156841676
