,0,1,2,train_loss,val_loss,train_loss_sd,val_loss_sd,ind_mini
21,0.0837,64,0.3367,269.638866391778,237.42243784427643,2651.5246487387253,2312.662674869391,2702389.0308629833
22,0.0694,64,0.0704,42.29360070735216,37.31007768392563,394.7784314995048,323.1887134843196,52921.493210215085
23,0.0143,32,0.3266,1.072298827394843,3.633749647140503,2.446069008537445,1.8007896993860018,8.223490019754228
24,0.0694,8,0.7789,3.9315747002512222,4.320218944549561,19.73932499133153,1.1664563079654298,10.012456023618633
25,0.0367,64,0.9296,8.018716298937797,9.206605625152587,19.462547953968645,16.230721589443384,174.0989552255574
26,0.0735,4,0.2613,11.640969659633074,8.316499221324921,31.18831339575433,5.141345269506425,47.79879523928705
27,0.0735,4,0.598,6.459580717659914,5.302784028053284,41.579084666727354,4.1857547873323675,22.82003079392642
28,0.0571,8,0.4271,3.047544506474265,4.206106586456299,17.32870590083403,1.9457159651928462,10.738571616918694
29,0.049,2,0.0804,166.3037939756403,10.171957278251648,1285.6431784052854,37.42196094919402,751.9359380767895
30,0.0408,2,0.7236,4.848120640523982,4.82032576084137,19.60904834218638,1.7610034754756536,13.168336840634131
31,0.0653,8,0.1709,9.996000737100838,3.7325200486183165,67.92248710357214,1.52490819487198,8.1285254580627
32,0.049,16,0.2261,2.7928345717099727,3.1348073935508727,13.60035132077313,2.0755677681665685,7.0674994774565825
33,0.0959,64,0.1608,278.55945554614067,257.3774619460106,2732.513398129801,2504.0015592004315,3168133.4831979815
34,0.0224,2,0.6382,2.0928012844426065,4.419630768299103,2.1333701445056525,1.711388617979576,11.230993564923082
35,0.0878,8,0.2161,23.642986294339806,3.99124493598938,219.74638602273004,2.4149346981473636,10.880972867688484
36,0.0388,16,0.5025,2.6748313735052944,4.270465128421783,8.24037175169962,4.115750722026118,17.588138209462493
37,0.0143,4,0.4221,1.279095855286488,3.2254290437698363,1.9254952747756575,0.923184671999076,5.6278312275040205
38,0.0163,16,0.1759,1.1997948504099623,3.187484872341156,2.6383708987885233,2.102251464683374,7.289760516083554
39,0.0449,2,0.5126,64.72856264101483,629.6507356381417,350.8970104004458,1923.884928291107,2048896.6330976652
40,0.0714,16,0.5729,26.791799181532113,13.826692912578583,175.30204673417353,78.14241675378143,3148.707366510206
41,0.0796,32,0.3216,92.76066417247057,4.942336263656617,891.7182572079855,4.661834795971476,23.079695703992833
42,0.0327,2,0.8241,2.5807989774959594,4.602001752853393,5.227347434098223,1.2701660740248049,11.395870994434647
