"date","GPP","Precip","Tair","PAR","VPD","fapar","ET","DOY","CO2","year","GPPp","ETp","SWp"
2004-12-20,0,0,-4.9325,0.891880550820542,0.0257729166666667,0.09,0,355,380,"2004",0.00673465635223606,0.0216682360267232,188.214825466297
2004-12-21,0,0,-7.55166666666667,1.2743894522622,0.01216875,0.09,0,356,380,"2004",0.00761441098769469,0.0271032887956898,187.426550310865
2004-12-22,0,0,-1.96020833333333,0.294688487051275,0.03833125,0.09,0.00125984174453476,357,380,"2004",0.00183416930845713,0.00799820688138338,186.901033540576
2004-12-23,0,0,-2.67375,0.654215726506911,0.0373229166666667,0.09,0.00125899203399296,358,380,"2004",0.00394207942706886,0.0172408379885585,186.550689027051
2004-12-24,0.0330454535238,0,-3.96645833333333,1.12103487494627,0.0474291666666667,0.09,0.00198731857031548,359,380,"2004",0.00613952852295966,0.0279603314491562,186.317126018034
2004-12-25,0.1043933014206,0,-7.63395833333333,1.39314901188822,0.0146729166666667,0.09,0.0027078061241385,360,380,"2004",0.00570084934756189,0.0290546864803599,186.161417345356
2004-12-26,0.0893601032094,0,-4.47875,0.676435748398292,0.025875,0.09,0.00271586808985541,361,380,"2004",0.00252517914227997,0.0162164487787563,186.057611563571
2004-12-27,0.0862443873522,0,-4.0225,1.36164691527828,0.0265166666666667,0.09,0,362,380,"2004",0.00457272818046856,0.0331745441078814,185.988407709047
2004-12-28,0.0502457340078,0,-4.693125,0.557156286620711,0.0191125,0.09,0,363,380,"2004",0.00167093069861115,0.0131391435522705,185.942271806031
2004-12-29,0.0390459425346,0,-3.30979166666667,0.29896029453859,0.0202166666666667,0.09,0,364,380,"2004",0.000888500646990298,0.00747236517863318,185.911514537354
2004-12-30,0.036939482181,6.1,-0.964583333333333,0.284919624967881,0.0396104166666667,0.09,0,365,380,"2004",0.00100953490245932,0.00786575541266395,185.89100969157
2004-12-31,0.0637142208138,0,-0.555416666666667,1.32853212855491,0.0690958333333333,0.09,0,366,380,"2004",0.00534965445523666,0.0374690770473497,185.87733979438
2005-01-01,0,0.159,-1.51847916666667,1.54599693296728,0.07453125,0.01,0,1,380,"2005",0.000741579375879129,0.0443439281008542,185.956323958826
2005-01-02,0,2.238,-0.707708333333333,0.234717608295251,0.040375,0.01,0,2,380,"2005",0.000131959535969836,0.00695125435306424,185.920882639217
2005-01-03,0.0250351230456,2.346,-1.02229166666667,0.74508270127584,0.0426520833333333,0.01,0,3,380,"2005",0.00044452720490309,0.0218050241593693,185.897255092811
2005-01-04,0.0552597115446,0.372,-2.65958333333333,0.564938261500703,0.0485083333333333,0.01,0,4,380,"2005",0.000334902555075197,0.0154857560804958,185.881503395208
2005-01-05,0.042409832076,7.047,-3.045625,0.441254533088914,0.0617041666666667,0.01,0,5,380,"2005",0.000254361746198033,0.0119040082061874,185.871002263472
2005-01-06,0.0157620016692,2.97,-2.155625,0.478773586446493,0.08284375,0.01,0,6,380,"2005",0.000279511125068582,0.0133995303531749,185.864001508981
2005-01-07,0.0343026016542,6.273,0.341875,0.345188536804416,0.089475,0.01,0.00375722913051592,7,380,"2005",0.000230725717390158,0.010650086034967,190.296433539321
2005-01-08,0.1317307818276,5.001,1.19458333333333,0.803331611122249,0.0714604166666666,0.01,0.00376026857872452,8,380,"2005",0.000610266552507287,0.0255831438758553,193.089286092881
