"","GPP","ET","SW","SOG","fS","fD","fW","fE","Throughfall","Interception","Snowmelt","Drainage","Canopywater","S"
"393",0,0.00332584070163348,185.978618622152,48.7412001368108,0,0.997573866413692,1,1,0,0,0,0.0643093110759783,4.01723468588439,-3.39343767871389
"394",0,0.00554392141915089,185.935745748101,54.1409160220873,0,0.997347212779775,1,1,0,0,0,0.0428728740506491,4.01169076446523,-3.2123354810285
"395",0,0.00937884273659759,185.907163832068,54.8397125179685,0,0.997071362597281,1,1,0,0,0,0.0285819160337629,4.00231192172864,-3.11116872532727
"396",0,0.00987298972727523,185.888109221378,55.73678279815,0,0.995608275600192,1,1,0,0,0,0.0190546106891721,3.99243893200136,-3.43873938224776
"397",0,0.0107640500604361,185.875406147586,55.9371334638768,0,0.997940604449597,1,1,0,0,0,0.0127030737927782,3.98167488194092,-4.03991644555222
"398",0,0.0114484425716473,185.866937431724,56.1369857757178,0,0.998643781423628,1,1,0,0,0,0.00846871586185216,3.97022643936928,-4.93333292427817
"399",0,0.00834010722317046,185.861291621149,57.4376859464345,0,0.998992690209395,1,1,0,0,0,0.00564581057456811,3.96188633214611,-6.26692496148238
"400",0,0.00632656409133791,185.857527747433,57.4376859464345,0,0.999690505018873,1,1,0,0,0,0.00376387371637558,3.95555976805477,-7.88714731715911
"401",0,0.00660895782506643,185.855018498289,58.0372483460025,0,0.999581923135378,1,1,0,0,0,0.00250924914425354,3.9489508102297,-9.33358131918327
"402",0,0.00637551079694063,185.853345665526,58.6351039797878,0,0.999712512719492,1,1,0,0,0,0.0016728327628357,3.94257529943276,-10.7329776230554
"403",0,0.0135776713010338,185.852230443684,58.8354200739488,0,0.998713088279383,1,1,0,0,0,0.00111522184189046,3.92899762813173,-10.9646822581028
"404",0,0.0242911620759903,185.851486962456,73.9358566503302,0,0.996686277698479,1,1,0,0,0,0.000743481227923818,3.90470646605574,-10.1123723157137
"405",0,0.0284313050727694,187.374664415805,71.7793029624085,0,0.997443121320055,1,1,0.12895597332968,0.0713718402979423,2.15655368792168,0.762332207902404,3.94764700128091,-9.02275654362021
"406",0,0.0226479181126885,186.86644294387,89.7794522288763,0,0.993197070280634,1,1,0,0,0,0.508221471934936,3.92499908316822,-8.61433658104814
"407",0,0.0227288515005381,186.527628629247,89.779947895459,0,0.997889833297134,1,1,0,0,0,0.338814314623287,3.90227023166768,-8.29869800924917
"408",0,0.024728526336403,186.301752419498,89.7816146963358,0,0.996353906273435,1,1,0,0,0,0.225876209748861,3.87754170533128,-7.87161704152295
"409",0,0.0289987257836875,186.151168279665,96.5820294298324,0,0.997036634299961,1,1,0,0,0,0.150584139832574,3.84854297954759,-7.17336566670879
"410",0,0.0257947584489009,186.05077885311,96.9812550724981,0,0.994378755400456,1,1,0,0,0,0.100389426555049,3.82274822109869,-6.85749761557318
"411",0,0.0314429115079163,186.559326107313,96.1180447646384,0,0.988778180699901,1,1,0,0,0.863210307859751,0.354663053656623,3.79130530959078,-6.16428265319535
"412",0,0.0347622222495407,188.730592334705,92.5069981204066,0,0.980012222029469,1,1,0.000515750512009017,0.000285446747647613,3.61104664423174,1.44029616735234,3.75682853408888,-5.32498821677677
"413",0,0.030544533941857,187.770394889803,92.5069981204066,0,0.985552909033269,1,1,0,0,0,0.960197444901562,3.72628400014703,-4.93424036157427
"414",0,0.030409647553932,187.130263259869,92.5072949909661,0,0.989217471279403,1,1,0,0,0,0.640131629934378,3.6958743525931,-4.64771574688518
"415",0,0.0298030029470266,186.703508839913,94.5068986887967,0,0.989383560803901,1,1,0,0,0,0.426754419956249,3.66607134964607,-4.46335120864921
"416",0,0.0278721633498068,186.419005893275,94.6063185710434,0,0.992959759476635,1,1,0,0,0,0.284502946637502,3.63819918629626,-4.47610596041318
"417",0,0.0333095946713555,186.229337262183,95.9060940627075,0,0.992724615512894,1,1,0,0,0,0.189668631091668,3.60488959162491,-4.13331951702244
"418",0,0.0301182110244386,186.102891508122,100.307739205912,0,0.996254817042231,1,1,0,0,0,0.126445754061109,3.57477138060047,-4.08946059477718
"419",0,0.0148990220205616,186.018594338748,103.009639753932,0,0.998110705004969,1,1,0,0,0,0.0842971693740727,3.55987235857991,-5.30816532164085
"420",0,0.012414041777539,185.962396225832,103.01004230613,0,0.998900401459764,1,1,0,0,0,0.0561981129160453,3.54745831680237,-6.69521006264725
"421",0,0.0131954691507553,185.924930817221,103.01004230613,0,0.998896243417976,1,1,0,0,0,0.0374654086107,3.53426284765161,-7.88412351922027
"422",0,0.0150416235161676,185.899953878148,103.510021012799,0,0.99821422752663,1,1,0,0,0,0.0249769390738,3.51922122413544,-8.79744890135399
"423",0,0.0155548807525348,185.883302585432,103.611202285638,0,0.99785171057475,1,1,0,0,0,0.0166512927158635,3.50366634338291,-9.59885464406592
"424",0,0.017145883923866,185.872201723621,103.612748010468,0,0.998815306470523,1,1,0,0,0,0.0111008618105757,3.48652045945904,-10.1928304261111
"425",0,0.0211556833343324,185.864801149081,106.112337234229,0,0.99835292674325,1,1,0,0,0,0.00740057454038379,3.46536477612471,-10.4110256967577
"426",0,0.0306943955147383,185.859867432721,106.61154294964,0,0.997876689494736,1,1,0,0,0,0.00493371636025586,3.43467038060997,-10.5788383580563
"427",0,0.0203247102828072,185.85657828848,108.212608471068,0,0.99826170083249,1,1,0,0,0,0.00328914424017057,3.41434567032717,-10.4552629923736
"428",0,0.0293446111340622,185.854385525654,112.411941252169,0,0.998162880146769,1,1,0,0,0,0.00219276282678038,3.3850010591931,-10.369980675258
"429",0,0.0271583733921252,185.852923683769,113.012318706255,0,0.997131912870865,1,1,0,0,0,0.00146184188452025,3.35784268580098,-10.2282473405342
"430",0,0.0261355064972182,185.851949122513,113.112554314603,0,0.99429745223274,1,1,0,0,0,0.000974561256346836,3.33170717930376,-9.63128030768984
"431",0,0.0151131179928028,185.851299415008,113.313137515243,0,0.99812582319305,1,1,0,0,0,0.000649707504228066,3.31659406131096,-9.35152315292128
"432",0,0.072515661619816,185.850866276672,118.111345004351,0,0.992741434929264,1,1,0,0,0,0.000433138336148886,3.24407839969114,-8.98004961284756
"433",0,0.0624297891441943,185.850577517782,118.112756409923,0,0.986966792530824,1,1,0,0,0,0.000288758890765924,3.18164861054695,-8.67648351877955
"434",0,0.0721863188244581,185.850385011854,118.112756409923,0,0.98511323550178,1,1,0,0,0,0.000192505927174125,3.10946229172249,-8.12341963312786
