,0,1,train_loss,val_loss
59,"[8, 256, 32, 16]",[8],,
60,"[8, 32]","[2, 128]",16.423729453630614,105.93796788242199
61,"[2, 128]","[4, 4, 16]",30.227947438177274,8.837520159432746
62,[256],"[256, 16]",16.59331197931798,15.126091733863175
63,"[8, 64]","[32, 32, 128]",16.06112164100513,15.23509166889662
64,[128],"[4, 8, 256]",8.482855601861822,7.3943702254119055
65,"[8, 2]","[8, 4]",12.117860206233964,7.735904176873964
66,"[4, 128, 32, 16]",[16],21.910149959510314,8.006201124657757
67,"[256, 8, 128]","[64, 128, 256]",28.70363734156938,21.059712120054854
68,"[128, 128, 2, 2]","[64, 8, 4]",9.882803159566157,
69,"[2, 8, 16]","[8, 8, 32, 8]",17.80877621877211,13.461076277641569
70,[2],"[256, 16, 256]",1607.649766519034,9949.612864462288
71,"[64, 256, 64]","[64, 32, 8]",,
72,"[256, 4, 128, 32]","[128, 16, 32]",,
73,"[4, 2, 128, 32]","[64, 2]",19.41277048703486,15.946176741762976
74,[32],"[128, 64, 2]",11.685614993866295,9.831879018101354
75,[8],"[2, 32, 8]",8.725478492811725,8.811779629024475
76,[4],"[256, 32, 4]",103130.09135975249,
77,[8],"[32, 64, 8]",7.956395485285775,6.148028715764698
78,"[64, 256, 2]","[256, 32, 2]",40.248380768342926,20.464299801688227
79,"[4, 8, 4, 16]",[32],33.18596858372323,15.361784565995405
80,"[256, 2, 4, 4]",[2],18.80376474987768,14.749682045083333
81,"[2, 256]","[16, 4, 4, 2]",14.73173039320833,12.62263889470826
82,"[256, 256, 64]","[256, 8]",,
83,"[4, 256, 128, 64]","[64, 2, 256, 2]",37.342305839803146,11.0073094722661
84,"[8, 64, 32]",[16],46.06276911131045,26.765021525374863
85,[4],"[32, 4]",8.922972101040704,5.682320887106471
86,[32],[8],99.0338516868751,2773.0053837129803
87,"[128, 2, 128]","[16, 16]",16.39753891462431,9.450045064072246
88,[256],"[32, 8, 64]",13.121225260155557,10.321260747643928
89,"[128, 64, 16, 64]","[4, 32, 2]",,
90,"[32, 128, 2]",[128],,
91,"[4, 64, 256]",[2],19.54870379646106,15.043739837506724
92,"[128, 8, 256]","[128, 8]",17.68762433574952,15.07519519909326
93,"[128, 2]","[32, 128, 128, 8]",,
94,[8],"[4, 4, 4]",598.1146008503059,10.520366810683324
95,[256],"[2, 128, 128]",18.48887273157007,14.770730013318015
96,"[64, 64, 128, 128]","[2, 4]",,
97,"[2, 16, 256]","[2, 16]",18.327900574475738,14.455974617224674
98,[64],[64],,
99,"[16, 16, 4]","[8, 16, 8]",878.322295196294,7810.34378389839
100,"[16, 64, 64]","[4, 64, 32]",47.047242660219474,12.146048202560001
101,"[8, 128, 256]",[4],,
102,[128],"[16, 256]",15.865140020895344,20.232198461778463
103,"[16, 4]","[4, 64]",22.617860462963073,23.965345086099013
104,[128],"[16, 4, 4, 2]",8.273900674445857,8.378619628132478
105,"[2, 2]","[256, 2, 2]",,
106,[16],"[128, 16, 32, 4]",26.72078257609082,62.75013222325918
107,[128],"[16, 4, 256, 16]",28.393977466324504,13.91589458585477
108,"[64, 64, 64, 32]",[128],,
109,[2],"[2, 64, 64, 256]",,
110,"[8, 256, 256, 64]","[128, 2]",,
111,"[128, 4, 64, 2]",[256],,
112,"[2, 4, 256]","[64, 2, 32]",16.34785185465374,10.199008403919313
113,"[8, 32, 256]",[8],,
114,"[2, 4, 64]",[32],16.759037647330896,38.09293134466726
115,"[4, 128]","[8, 16]",14.552885163147321,10.01169258415699
116,"[32, 4, 64, 32]","[16, 4, 256]",16.887689985292795,17.58720614254738
117,"[64, 4, 2]","[32, 16, 2, 128]",,
118,[4],"[128, 256]",62322.43050192829,8637094.284819571
119,"[16, 128, 32, 64]","[256, 8, 32]",17.206216664234077,16.09596178046668
120,"[4, 64, 8, 8]","[4, 16, 256, 4]",,
121,"[4, 128, 4, 64]","[128, 4, 8, 2]",,
122,"[128, 256]","[4, 16, 8, 256]",17.679521112474955,15.978315947707944
123,"[8, 8, 32]","[4, 8, 8]",10.085304304878068,5.217474329120116
124,"[256, 16]","[32, 16, 16, 64]",,
125,"[8, 256, 4, 64]",[128],50.48524854651512,14.818346558872449
126,"[16, 16]","[8, 16, 8, 16]",12.026968088243954,8.756719933419447
127,[16],[64],6247.688820819998,56946.28552935751
128,"[32, 256, 4]","[8, 256, 64, 128]",20296.930028475057,6.668495201541586
129,"[16, 8, 4]","[8, 32, 2, 256]",10.766761054036019,9.335708092618782
130,[4],"[4, 128]",,
131,"[16, 4, 2, 8]",[16],21.43645977238044,19.085399535324264
132,"[32, 8, 256, 16]","[128, 4]",24.010894900106322,23.292359648876538
133,"[8, 128, 128]","[256, 64, 256, 128]",22.761456181148272,11.045840755729007
134,"[256, 16, 32, 16]","[64, 4, 32, 16]",,
135,"[64, 64, 2, 32]","[32, 16, 16, 4]",,
136,"[256, 4, 128, 32]","[32, 2, 256, 2]",,
137,"[8, 256, 4, 8]",[4],61.177547592114585,13.188050630986691
