,f1,f2,f3,f4,f5,f6
86,1.5836324771156107,1.8505839140558369,2.093576211995859,1.9769308898375582,1.8194436825323697,2.3164920062156633
87,1.5833996943577355,1.8392439996912606,2.084230339043318,1.9643247988310781,1.811131323279928,2.305549293123596
88,1.5847188802560315,1.8281821392969124,2.0745324797559896,1.9519086130408914,1.8027059507490688,2.294696381421214
89,1.579791735983863,1.8171242841924,2.064902637796539,1.9393993776452525,1.7938175943944465,2.2836948787465947
90,1.5793166405752825,1.8063151951434449,2.0555131255104424,1.9269484654976807,1.7846883415762969,2.2727081378876792
91,1.5799805786783425,1.795619024071207,2.0459890030384864,1.9142309564096534,1.7751927963312928,2.261706645723416
92,1.5765188278038402,1.784990655289665,2.0363867936308675,1.9014987047596046,1.7652820608317101,2.250451625228708
93,1.5800957502581596,1.7745799489797418,2.02691604334046,1.8889212944186042,1.755163268699087,2.239008091019848
94,1.573217153851573,1.764146758269581,2.017405785590471,1.8761302019864206,1.7448029833989114,2.2274480179173892
95,1.5719597645347059,1.75362781137659,2.0078627431158593,1.8631701191246146,1.734285211208815,2.2156269220530227
96,1.5704710185312312,1.7431969623090822,1.9985185615160483,1.8504307972299656,1.7233469041843514,2.2037130980960247
97,1.5692222396789772,1.7325106015936416,1.9891170686929531,1.8379764858979977,1.7121603608950555,2.191800233535354
98,1.5681328143193722,1.7217096942200674,1.9798376645855817,1.8251052589924865,1.7007417990845037,2.17977187238745
99,1.5664234427769765,1.71092383652647,1.9705874098347005,1.812393854198983,1.6892526996954929,2.167675109048895
100,1.5650338137065285,1.700386613015193,1.9611351383562674,1.7997404199096465,1.6775760152642405,2.1554447206477803
101,1.5636779914825831,1.6897546389473113,1.9518938139506243,1.7870873664711706,1.665592838882392,2.143078289796376
102,1.5624701451688192,1.678959057023272,1.9425140487486694,1.7744373922952352,1.6537873087500143,2.1307049900231383
103,1.5609132256693572,1.6682401870087662,1.9331433304062458,1.7619840672038454,1.6416695773173613,2.1181676741582973
104,1.5595305309185479,1.6576541324898328,1.9237714101052803,1.7494295167880538,1.629651645007106,2.1056064147876614
105,1.5581592372717434,1.6473367333446023,1.9144487753950061,1.7368031622021947,1.617558222840645,2.092861461813989
106,1.5566891732726618,1.6368558236782278,1.9051665862849585,1.7242887544737433,1.6052928894983531,2.0801968673412876
107,1.5552566340244236,1.6266347388947293,1.8959753602359077,1.7117420696863306,1.5928887095036042,2.0674779404020796
108,1.553868746627906,1.6165403499660593,1.8868305381534871,1.699123636668468,1.5804933911282326,2.0545123275359205
109,1.5523858117989697,1.6064291673008968,1.8776990472425552,1.6867975728688929,1.568204800112707,2.0417278432490016
110,1.5510709565020648,1.5964926168358775,1.868471750767293,1.6744649018331095,1.5558534142613567,2.0288306250072954
111,1.5498859640283547,1.586555038913901,1.8592517030291995,1.662311456204827,1.543435896712387,2.0157147479296302
