,0,1,2,3,train_loss,val_loss
161,8,4.0,32.0,,3.9885955811518943,5.014200167903353
162,8,64.0,256.0,16.0,2.82823875890288,6.521931608056892
163,4,64.0,,,4.005463768113113,5.032510723695159
164,128,16.0,,,3.3131394191854056,5.17398487024819
165,16,8.0,16.0,,3.8567517303570646,5.042094922627363
166,64,64.0,8.0,32.0,3.030111908351013,6.047395125311678
167,4,2.0,8.0,,4.279163830082398,4.940331560308518
168,16,128.0,8.0,32.0,3.3694483906954997,5.286261046097978
169,2,8.0,16.0,256.0,4.575961100040586,4.361272271296982
170,4,64.0,16.0,32.0,3.994981485946104,4.881410148638584
171,32,128.0,32.0,256.0,2.367707772692665,6.879457009212397
172,64,16.0,256.0,64.0,2.610889407956624,6.810815231625154
173,16,2.0,2.0,,4.078655681355624,4.812887591220762
174,4,128.0,32.0,128.0,3.5999598997491415,6.195148653462529
175,4,8.0,256.0,256.0,3.9491863910106484,5.094361425858477
176,64,32.0,128.0,64.0,2.7049584517217005,6.9381175895553575
177,32,2.0,16.0,32.0,3.850322043140128,4.751184160442133
178,4,128.0,16.0,,3.7972132131583636,5.8358900955287005
179,4,2.0,4.0,2.0,4.824896441923047,4.885121735185384
180,4,32.0,128.0,64.0,3.674497346010816,5.99890362984673
181,4,128.0,128.0,,3.6780607093602886,5.960148378443782
182,2,128.0,8.0,8.0,4.1820168629463295,5.724460612603504
183,32,16.0,,,3.6343118182013274,5.095646127915901
184,16,4.0,32.0,32.0,3.7329395807490227,5.169427822887412
185,64,64.0,,,3.2368944854894655,5.360869199866833
186,4,16.0,2.0,64.0,4.1504136627749535,4.610288374879114
187,8,64.0,64.0,2.0,3.5087161565739446,5.678211312319921
188,4,128.0,64.0,256.0,3.658978593278909,5.130539337895486
189,8,256.0,,,3.611424696239527,5.389166278489259
190,4,128.0,2.0,2.0,4.132695598061779,5.20796523294371
191,32,32.0,128.0,8.0,2.8944153182550796,6.4194996709198415
192,64,128.0,256.0,32.0,2.367254920487059,7.099494913079492
193,32,64.0,256.0,,2.500524276647921,6.549879477254884
194,256,32.0,256.0,128.0,2.53957819724991,6.5603548689057005
195,32,16.0,64.0,8.0,3.2748542334490924,5.492715414989254
196,2,128.0,128.0,256.0,4.057269159086237,5.846311332554274
197,16,8.0,32.0,256.0,3.4365153915374247,5.292264417610332
198,2,128.0,64.0,16.0,4.187621532418649,5.09165028018229
199,256,16.0,32.0,,3.145358991521469,5.499651766045262
200,64,128.0,128.0,32.0,2.3777445444208567,7.040500694992749
201,128,8.0,,,3.5447409238085386,5.127072659654785
202,64,16.0,32.0,64.0,2.9712396134329024,6.430220223934107
203,8,128.0,64.0,,3.4289986383887014,5.50458045743244
204,64,8.0,8.0,128.0,3.2159072634571357,5.8139301499726415
205,2,16.0,,,4.646669757032767,4.5755436507037475
206,8,256.0,8.0,32.0,3.438977366110194,5.445637495035063
207,8,4.0,4.0,256.0,3.8231835197522304,5.232194218756226
208,4,4.0,2.0,2.0,13.573704551815055,12.467546134150547
209,2,2.0,8.0,256.0,4.316222936393927,4.849820942454365
210,32,32.0,32.0,2.0,13.957308112196621,12.590420301375184
211,4,256.0,2.0,,14.154022070347331,12.68093848850416
212,256,8.0,128.0,256.0,2.790474820679519,6.5017773244068335
213,32,4.0,2.0,4.0,4.233869024462299,4.886586281404547
214,4,128.0,256.0,,3.9608941434150915,4.938196842433156
215,16,8.0,32.0,,3.6846269445545037,5.44661061860702
216,16,256.0,4.0,,13.92931804612232,12.58715449176729
217,128,8.0,128.0,4.0,3.1125263614683645,6.175269147167387
218,8,2.0,64.0,,4.107434739832302,5.090619352272023
219,256,8.0,,,3.3568405895718603,5.18683711864864
220,8,2.0,,,14.017058585629332,12.60925151467647
221,8,64.0,64.0,,3.6854144567067264,5.52692302848253
222,64,128.0,64.0,,2.636095053399564,6.431707518833243
223,16,64.0,,,3.5727086629226115,5.311296691368942
224,2,64.0,,,4.346854052185721,4.927978528980975
225,64,4.0,,,3.766145004573977,4.982301082032855
226,32,4.0,16.0,32.0,3.362908155907586,6.353200561321625
227,64,256.0,8.0,4.0,3.0278308292687877,6.122334814627209
228,2,16.0,16.0,32.0,4.365938323456328,4.935594331988173
229,32,2.0,16.0,,3.9057658032246407,4.995489296462467
230,128,128.0,32.0,,2.530121617812838,6.331493260957219
231,64,16.0,64.0,,3.0867609128080358,6.23699281821412
232,32,32.0,64.0,,2.949185451399302,5.964672430022013
233,16,4.0,16.0,,3.9811243045912117,4.9109049094193
234,256,16.0,256.0,,2.8575530952678245,6.040170851113356
235,2,128.0,8.0,,4.215305513709783,5.264257839642788
236,2,16.0,16.0,,4.686711591106374,4.384432695054489
237,64,256.0,16.0,64.0,2.6125296840765797,6.7842943472528585
238,128,4.0,16.0,32.0,3.273505531677859,5.648206796874495
239,32,32.0,16.0,,3.3963965318243727,5.731750469506597
240,32,64.0,8.0,,3.1995468499138955,5.498747140794345
241,4,2.0,4.0,,13.143230689159596,12.542355930014796
242,4,8.0,2.0,32.0,4.243565666969516,5.092014418226546
243,4,256.0,256.0,,3.4627902881204506,6.187593812307585
244,16,8.0,128.0,32.0,3.4058088149866084,5.138896262901633
245,8,16.0,256.0,8.0,3.643279468471767,5.421331132127214
246,256,32.0,16.0,128.0,2.8496022100303673,6.368906189266429
247,32,256.0,8.0,32.0,3.0247483582564745,5.985015291526265
248,8,256.0,8.0,,3.3692365358005043,5.599743458319142
249,256,64.0,16.0,,2.8114859529568053,6.100226909524722
250,64,8.0,256.0,64.0,2.7667075904045486,6.6998302589441945
251,128,4.0,16.0,,13.064536429442464,12.549737734431803
252,2,128.0,16.0,,4.292695708418729,4.899145248112795
253,2,16.0,4.0,,4.526447860733141,4.751440509700257
254,8,8.0,16.0,,4.093935900734229,4.879751563046289
255,64,4.0,64.0,,3.2745435717792715,5.792243142649532
256,8,256.0,2.0,2.0,13.655420872204006,12.492700179776419
257,4,128.0,32.0,4.0,3.7901386005899407,5.204099128831015
258,64,64.0,128.0,2.0,2.770280371245026,6.360811806538184
259,16,8.0,,,3.922735136252362,4.684426928045958
260,2,16.0,8.0,8.0,4.493014271287714,4.933140235154525
261,8,128.0,,,3.6742182445346843,5.035043807220847
262,16,8.0,64.0,16.0,3.705394790776073,5.58683231990339
263,64,32.0,,,3.366539853226684,5.45718411349003
264,256,16.0,,,3.2620453018019915,5.170543142607355
265,4,4.0,128.0,,4.006880771500729,5.1392740660185074
266,2,4.0,128.0,8.0,4.54755204977619,4.570264079716543
267,2,4.0,8.0,256.0,4.239154217166825,4.7667620212066435
268,4,128.0,,,4.033631001882487,4.7179191402337795
269,64,2.0,2.0,8.0,13.031572109620086,12.524899354551149
270,128,64.0,2.0,,3.5175938952277646,5.0132050428312755
271,8,64.0,32.0,,3.5790580956351477,5.2114964015312175
272,4,2.0,32.0,,4.446959936796687,4.846222968901629
