,train_p1,train_p2,train_p3,train_p4,train_p5,train_p6
58,-999.0,,-1008.3297,-999.0,-999.0226,-999.49286
59,-76.14423,,-2.7408571,-251.3079,-212.59097,-6.3321986
60,0.027088158,,-0.15292042,0.0,0.0,0.0
61,-999.0,,-1007.2017,-999.0,-999.0199,-999.4333
62,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.4521
63,0.029086107,,-0.12988764,0.0,0.0,0.0
64,-999.0,,-1006.2566,-999.0,-999.0176,-999.38336
65,-76.143074,,-2.7408571,-251.30333,-212.58372,-6.3321986
66,0.06587531,,-0.20550367,0.0,0.0,0.0
67,-999.0,,-1004.9807,-999.0,-999.0145,-999.3159
68,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.3191
69,-0.15399924,,-0.08318322,0.0,0.0,0.0
70,-999.0,,-1000.14795,-999.0,-999.0028,-999.06067
71,-76.142685,,-2.7408571,-251.30092,-212.5586,-6.3321986
72,0.09923042,,-0.14324746,0.0,0.0,0.0
73,-999.0,,-1003.087,-999.0,-999.0099,-999.2159
74,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1093.9626
75,0.046340767,,-0.10041003,0.0,0.0,0.0
76,-999.0,,-1003.94165,-999.0,-999.01196,-999.26105
77,-76.14239,,-2.7408571,-251.30103,-212.58649,-6.3321986
78,0.16573632,,-0.16143087,0.0,0.0,0.0
79,-999.0,,-1002.44495,-999.0,-999.00836,-999.182
80,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.1758
81,0.12310815,,-0.15266444,0.0,0.0,0.0
82,-999.0,,-1002.78546,-999.0,-999.00916,-999.19995
83,-76.14232,,-2.7408571,-251.30064,-212.58244,-6.3321986
84,0.1459372,,-0.13361372,0.0,0.0,0.0
85,-999.0,,-1002.3604,-999.0,-999.0081,-999.1775
86,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.1097
87,0.07155917,,-0.1055715,0.0,0.0,0.0
88,-999.0,,-1003.0747,-999.0,-999.0099,-999.2153
89,-76.14233,,-2.7408571,-251.3008,-212.58598,-6.3321986
90,0.17852893,,-0.13224994,0.0,0.0,0.0
91,-999.0,,-1002.11005,-999.0,-999.00757,-999.1643
92,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.1261
93,-0.396824,,-0.1339698,0.0,0.0,0.0
94,-999.0,,-1000.50934,-999.0,-999.00366,-999.0797
95,-76.1423,,-2.7408571,-251.2994,-212.55432,-6.3321986
96,0.14132553,,-0.12349475,0.0,0.0,0.0
97,-999.0,,-1002.27985,-999.0,-999.00793,-999.1733
98,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1093.9799
99,0.38950872,,-0.089647315,0.0,0.0,0.0
100,-999.0,,-1001.40015,-999.0,-999.0058,-999.1268
101,-76.14232,,-2.7408571,-251.30046,-212.57835,-6.3321986
102,0.020662304,,0.030845126,0.0,0.0,0.0
103,-999.0,,-998.3928,-999.0,-998.99854,-998.9679
104,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.0295
105,-0.44465894,,-0.16270354,0.0,0.0,0.0
106,-999.0,,-1000.4837,-999.0,-999.0036,-999.07837
107,-76.1423,,-2.7408571,-251.29987,-212.56265,-6.3321986
108,0.16864061,,-0.19909498,0.0,0.0,0.0
109,-999.0,,-1002.59216,-999.0,-999.0087,-999.18976
110,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1093.9781
111,0.2390189,,-0.34387144,0.0,0.0,0.0
112,-999.0,,-1002.842,-999.0,-999.00934,-999.20294
113,-76.14231,,-2.7408571,-251.29996,-212.56734,-6.3321986
114,0.05190563,,-0.1998526,0.0,0.0,0.0
115,-999.0,,-1005.5433,-999.0,-999.01587,-999.34564
116,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.1267
117,0.047420587,,-0.19305438,0.0,0.0,0.0
118,-999.0,,-1005.8799,-999.0,-999.01666,-999.36346
119,-76.144325,,-2.7408571,-251.30812,-212.58739,-6.3321986
120,0.04529521,,-0.23464529,0.0,0.0,0.0
121,-999.0,,-1006.8348,-999.0,-999.019,-999.4139
122,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.3544
123,0.03277828,,-0.23532192,0.0,0.0,0.0
124,-999.0,,-1008.17883,-999.0,-999.0223,-999.48486
125,-76.14864,,-2.7408571,-251.32457,-212.6029,-6.3321986
