,0,1,2,3,train_loss,val_loss
253,8,2.0,128.0,64.0,2.741288964455821,3.5641523375831867
254,256,64.0,256.0,,1.1592000875325652,5.524254400543868
255,64,8.0,256.0,,1.7761489969582904,4.508457213376203
256,128,2.0,16.0,,2.2189097644629587,4.518989545061536
257,32,16.0,16.0,,2.0858120757409426,5.072197216943554
258,8,8.0,32.0,32.0,2.435432721949652,3.882194910625239
259,8,2.0,16.0,256.0,2.5781316491235327,4.747057051882148
260,4,16.0,256.0,,2.7037457589361202,4.361430290828904
261,8,32.0,,,2.655209842354385,4.4557372807565585
262,8,128.0,128.0,8.0,2.0838596925454076,4.70803242713213
263,4,4.0,128.0,8.0,2.958673400316351,3.9173175430832354
264,64,4.0,256.0,,1.8454112806231981,4.9409921183858225
265,2,2.0,256.0,,3.0843502364043447,3.145503412225972
266,8,16.0,32.0,,2.5322678650774657,4.245002830987391
267,64,128.0,8.0,,1.8291456184491819,5.217132965023427
268,16,8.0,64.0,16.0,2.232024204311934,4.689671165002105
269,32,16.0,64.0,,2.0131536079977366,4.824334458953337
270,4,64.0,8.0,256.0,2.7731131223099617,3.902732128036088
271,4,256.0,32.0,,2.4551405860909434,3.6471405579376484
272,256,64.0,32.0,,1.3102826399342609,5.135194680787947
273,128,64.0,256.0,64.0,1.0932554724661683,5.368860335826225
274,2,32.0,8.0,2.0,3.2421162565839654,3.4123635384553794
275,128,32.0,64.0,2.0,1.5762168502353802,4.73186719905423
276,128,8.0,16.0,4.0,13.20308952128079,7.433186188741871
277,8,128.0,64.0,,2.19815091710642,5.040981748875068
278,256,2.0,8.0,,2.1041577603480937,4.189271254022808
279,64,256.0,128.0,,1.018432690944509,5.266028280057336
280,4,2.0,16.0,4.0,3.2681475870147683,3.567578794254881
281,256,128.0,8.0,,1.391307763928561,4.990216312119332
282,256,128.0,16.0,,1.2926731880162603,5.26424717337865
283,32,32.0,8.0,2.0,13.080248002207075,7.395178817497648
284,4,128.0,128.0,,2.711903671664843,4.115101058544672
285,4,64.0,,,2.895529994038902,4.342091928153582
286,32,8.0,32.0,16.0,2.0628897703387348,3.9583677436897284
287,2,32.0,8.0,,3.286382412027211,3.559427356634127
288,32,64.0,256.0,,1.2269527362815031,5.344644124642338
289,32,128.0,32.0,4.0,13.431951039353002,7.510145374996507
290,128,4.0,8.0,,1.9736855406483285,4.70520342891631
291,8,16.0,,,2.7905846411202813,4.208481980217216
292,64,64.0,64.0,128.0,1.324853739202766,5.059014494399662
293,64,2.0,128.0,256.0,1.952995465503277,4.570290427591813
294,128,64.0,128.0,,1.1933644324643533,5.341790148748652
295,4,256.0,8.0,,2.7780800501986107,3.9046956444466883
296,16,8.0,32.0,,2.4591107059428214,3.748741581427015
297,16,128.0,128.0,,1.6251620724667573,5.919448173726383
298,256,128.0,256.0,,1.037821578180085,4.9511556680856845
299,16,4.0,256.0,,2.3433243751643738,4.479090719511328
300,4,8.0,16.0,,3.119339778051402,4.156092077143814
301,64,128.0,16.0,,1.4092062975765816,5.349934509767462
302,16,4.0,16.0,8.0,2.6237093873914357,4.021029170110174
303,16,256.0,8.0,256.0,1.5964980956187407,4.961092451551686
304,16,32.0,,,2.2751683876836113,4.314057422724107
305,128,64.0,4.0,256.0,1.283373545999322,5.45140347249077
306,8,32.0,64.0,2.0,2.3737585980768676,4.159736505196146
307,128,2.0,256.0,128.0,1.6430409264087873,4.92448125185364
308,16,4.0,4.0,256.0,2.2956513506888543,4.235017785392702
309,256,256.0,8.0,2.0,12.506756268960249,7.230114670356977
310,128,8.0,32.0,,1.9285855367099516,4.401642186408457
311,16,64.0,,,2.084311849786539,4.335988893100748
312,16,64.0,64.0,32.0,1.7672795586832566,4.971070414334535
313,256,16.0,16.0,,1.645393224685729,4.329328923790675
314,256,32.0,,,1.4958062546958732,5.018195785504321
315,64,8.0,,,2.1774820729960016,4.1140356960908875
316,16,16.0,,,2.644293637143272,4.15608889180357
