,train_p1,train_p2,train_p3,train_p4,train_p5,train_p6
3106,-0.00047026796,-999.9095,-999.0,-999.0,-0.3159679,-999.65936
3107,5.7061014,-6.3322024,198.5388,43.675934,62.244335,16.464846
3108,0.007693458,0.0067263804,0.0,0.0,0.014194296,0.0
3109,2.5682642e-05,-998.9503,-999.0,-999.0,0.017255886,-998.964
3110,5.7061014,-6.3322024,198.53723,43.675934,62.28883,16.464846
3111,-0.029499337,0.0,0.0,0.0,-0.0543429,0.0
3112,-0.00010160067,-999.1965,-999.0,-999.0,-0.06826438,-999.14246
3113,5.7061014,-6.3322024,198.52748,43.675934,62.311794,16.464846
3114,-0.10866594,1.2567065,0.0,0.0,-0.19986928,0.0
3115,-0.00061616645,-1000.19165,-999.0,-999.0,-0.41399547,-999.8639
3116,5.7061014,-6.3322024,198.52129,43.675934,62.33079,16.464846
3117,-0.13983801,0.0,0.0,0.0,-0.2568031,0.0
3118,-0.0004476804,-999.8658,-999.0,-999.0,-0.30079153,-999.6277
3119,5.7061014,-6.3322024,198.50755,43.675934,62.34962,16.464846
3120,-0.023250954,-0.047937915,0.0,0.0,-0.04263319,0.0
3121,-0.0003456184,-999.6684,-999.0,-999.0,-0.23221722,-999.48456
3122,5.7061014,-6.3322024,198.50275,43.675934,62.1668,16.464846
3123,-0.000648949,0.0,0.0,0.0,-0.0011880863,0.0
3124,-3.3547778e-05,-999.0649,-999.0,-999.0,-0.022540385,-999.04706
3125,5.7061014,-6.3322024,198.48824,43.675934,62.139267,16.464846
3126,-0.005401052,-0.0069973506,0.0,0.0,-0.009872756,0.0
3127,-0.00013661398,-999.2642,-999.0,-999.0,-0.09178943,-999.1915
3128,5.7061014,-6.3322024,198.47612,43.675934,62.15178,16.464846
3129,-0.01730596,0.0,0.0,0.0,-0.031584896,0.0
3130,-0.00059700775,-1000.1546,-999.0,-999.0,-0.40112293,-999.83704
3131,5.7061014,-6.3322024,198.46875,43.675934,62.163013,16.464846
3132,-0.01624925,-0.15378119,0.0,0.0,-0.029611573,0.0
3133,-0.0005547653,-1000.0729,-999.0,-999.0,-0.3727407,-999.77783
3134,5.7061014,-6.3322024,198.45561,43.675934,62.122696,16.464846
3135,-0.019848919,0.0,0.0,0.0,-0.03611577,0.0
3136,-0.00041034294,-999.7936,-999.0,-999.0,-0.27570492,-999.5753
3137,5.7061014,-6.3322024,198.44284,43.675934,62.083008,16.464846
3138,-0.109297335,0.16172528,0.0,0.0,-0.19857052,0.0
3139,-0.0009485619,-1000.8345,-999.0,-999.0,-0.6373283,-1000.32996
3140,5.7061014,-6.3322024,198.42717,43.675934,62.0903,16.464846
3141,-0.18725996,0.0,0.0,0.0,-0.33968714,0.0
3142,-0.0016031037,-1002.1003,-999.0,-999.0,-1.0771078,-1001.2477
3143,5.7061014,-6.3322024,198.41531,43.675934,62.11487,16.464846
3144,-0.13037267,0.084293626,0.0,0.0,-0.23613834,0.0
3145,-0.001390766,-1001.68964,-999.0,-999.0,-0.9344404,-1000.94995
3146,5.7061014,-6.3322024,198.40572,43.675934,62.151978,16.464846
3147,0.007699652,0.0,0.0,0.0,0.013925856,0.0
3148,0.00017592518,-998.6598,-999.0,-999.0,0.118202195,-998.75336
3149,5.7061014,-6.3322024,198.39966,43.675934,62.188282,16.464846
3150,0.04186145,0.023585938,0.0,0.0,0.075598456,0.0
3151,0.00041559146,-998.1963,-999.0,-999.0,0.27923134,-998.4173
3152,5.7061014,-6.3322024,198.39444,43.675934,62.194397,16.464846
3153,0.0027684113,0.0,0.0,0.0,0.004992129,0.0
3154,0.00022772876,-998.5596,-999.0,-999.0,0.15300845,-998.6807
3155,5.7061014,-6.3322024,198.39403,43.675934,62.16466,16.464846
3156,0.01939661,0.008050435,0.0,0.0,0.034924883,0.0
3157,0.0009918408,-997.08185,-999.0,-999.0,0.6664069,-997.6094
3158,5.7061014,-6.3322024,198.39058,43.675934,61.842766,16.464846
3159,0.028510198,0.0,0.0,0.0,0.05125799,0.0
3160,0.0008701243,-997.31726,-999.0,-999.0,0.584627,-997.78
3161,5.7061014,-6.3322024,198.39143,43.675934,61.851788,16.464846
3162,0.033448074,0.011099803,0.0,0.0,0.060048226,0.0
3163,0.0014048945,-996.283,-999.0,-999.0,0.9439332,-997.0303
3164,5.7061014,-6.3322024,198.387,43.675934,61.53537,16.464846
3165,0.32025573,0.0,0.0,0.0,0.5740891,0.0
3166,0.0017266445,-995.66077,-999.0,-999.0,1.1601135,-996.57916
3167,5.7061014,-6.3322024,198.38254,43.675934,61.535683,16.464846
3168,0.09451811,0.042170692,0.0,0.0,0.16918214,0.0
3169,0.00059357745,-997.85205,-999.0,-999.0,0.39881817,-998.1678
3170,5.7061014,-6.3322024,198.38829,43.675934,61.452324,16.464846
3171,0.2105914,0.0,0.0,0.0,0.37641114,0.0
3172,0.0019148006,-995.2969,-999.0,-999.0,1.2865336,-996.3153
3173,5.7061014,-6.3322024,198.38596,43.675934,61.160828,16.464846
3174,0.06515562,0.018871935,0.0,0.0,0.11629077,0.0
3175,0.0015274624,-996.04596,-999.0,-999.0,1.0262852,-996.8584
3176,5.7061014,-6.3322024,198.38486,43.675934,60.943054,16.464846
3177,0.04429777,0.0,0.0,0.0,0.07894897,0.0
3178,0.0011249842,-996.82434,-999.0,-999.0,0.75586456,-997.4227
3179,5.7061014,-6.3322024,198.38109,43.675934,60.879925,16.464846
3180,0.14961748,0.0402129,0.0,0.0,0.26626897,0.0
3181,0.0017066088,-995.6995,-999.0,-999.0,1.1466517,-996.60724
3182,5.7061014,-6.3322024,198.37495,43.675934,60.58161,16.464846
3183,0.22833173,0.0,0.0,0.0,0.40577006,0.0
3184,0.0013596712,-996.3705,-999.0,-999.0,0.91354823,-997.0936
3185,5.7061014,-6.3322024,198.3697,43.675934,60.507687,16.464846
3186,0.11548941,0.038405318,0.0,0.0,0.20494522,0.0
3187,0.0010275394,-997.0128,-999.0,-999.0,0.6903924,-997.5593
3188,5.7061014,-6.3322024,198.36905,43.675934,60.450623,16.464846
3189,0.040064685,0.0,0.0,0.0,0.07099677,0.0
3190,0.0008662869,-997.32465,-999.0,-999.0,0.5820487,-997.7854
3191,5.7061014,-6.3322024,198.36848,43.675934,60.293873,16.464846
3192,0.062536344,0.023082096,0.0,0.0,0.11066134,0.0
3193,0.000936823,-997.18823,-999.0,-999.0,0.6294411,-997.6865
3194,5.7061014,-6.3322024,198.36426,43.675934,60.141685,16.464846
3195,0.079397485,0.0,0.0,0.0,0.14029875,0.0
3196,0.00073533977,-997.5779,-999.0,-999.0,0.49406672,-997.969
3197,5.7061014,-6.3322024,198.35992,43.675934,60.035416,16.464846
3198,-0.048649233,0.19641954,0.0,0.0,-0.08584286,0.0
3199,-0.00070512167,-1000.36365,-999.0,-999.0,-0.47376353,-999.98865
3200,5.7061014,-6.3322024,198.35962,43.675934,60.034958,16.464846
3201,-0.13747385,0.0,0.0,0.0,-0.24223186,0.0
3202,-0.001836738,-1002.5521,-999.0,-999.0,-1.2340841,-1001.5752
3203,5.7061014,-6.3322024,198.35735,43.675934,60.047337,16.464846
3204,-0.06303348,0.043143764,0.0,0.0,-0.11091503,0.0
3205,-0.0013358005,-1001.5834,-999.0,-999.0,-0.8975097,-1000.87286
3206,5.7061014,-6.3322024,198.35669,43.675934,60.088108,16.464846
3207,-0.021051528,0.0,0.0,0.0,-0.036991365,0.0
3208,-0.00071274844,-1000.3784,-999.0,-999.0,-0.47888786,-999.9993
3209,5.7061014,-6.3322024,198.35576,43.675934,60.118378,16.464846
3210,-0.008118463,-0.031431235,0.0,0.0,-0.014245809,0.0
3211,-0.0004636142,-999.8966,-999.0,-999.0,-0.3114973,-999.65
3212,5.7061014,-6.3322024,198.35477,43.675934,60.127968,16.464846
3213,-0.009428445,0.0,0.0,0.0,-0.016521629,0.0
3214,-0.0002716786,-999.5254,-999.0,-999.0,-0.18253788,-999.3809
3215,5.7061014,-6.3322024,198.3528,43.675934,60.1361,16.464846
3216,-0.0020716758,-0.0022848567,0.0,0.0,-0.0036252318,0.0
3217,-0.00013663666,-999.2642,-999.0,-999.0,-0.091804676,-999.1916
3218,5.7061014,-6.3322024,198.35255,43.675934,60.144344,16.464846
3219,-0.030433495,0.0,0.0,0.0,-0.053182296,0.0
3220,-0.0006645228,-1000.28516,-999.0,-999.0,-0.44648558,-999.9317
3221,5.7061014,-6.3322024,198.35042,43.675934,60.14559,16.464846
3222,-0.037539873,0.06715389,0.0,0.0,-0.065511145,0.0
3223,-0.000878729,-1000.6994,-999.0,-999.0,-0.5904083,-1000.23206
3224,5.7061014,-6.3322024,198.34987,43.675934,60.136242,16.464846
3225,-0.04995639,0.0,0.0,0.0,-0.08706054,0.0
3226,-0.0009636599,-1000.86365,-999.0,-999.0,-0.6474725,-1000.35114
3227,5.7061014,-6.3322024,198.34901,43.675934,60.156387,16.464846
3228,-0.08075602,0.046470005,0.0,0.0,-0.14054447,0.0
3229,-0.001466738,-1001.83655,-999.0,-999.0,-0.98548514,-1001.05646
3230,5.7061014,-6.3322024,198.34839,43.675934,60.134712,16.464846
3231,-0.077397734,0.0,0.0,0.0,-0.13451742,0.0
3232,-0.0019980513,-1002.8641,-999.0,-999.0,-1.3424687,-1001.8014
3233,5.7061014,-6.3322024,198.34871,43.675934,60.105587,16.464846
3234,-0.31334138,0.032811876,0.0,0.0,-0.5438385,0.0
3235,-0.0048381235,-1008.3566,-999.0,-999.0,-3.250682,-1005.7833
3236,5.7061014,-6.3322024,198.34743,43.675934,60.15417,16.464846
3237,-0.20785442,0.0,0.0,0.0,-0.36027387,0.0
3238,-0.004708385,-1008.1057,-999.0,-999.0,-3.1635122,-1005.60144
3239,5.7061014,-6.3322024,198.34802,43.675934,60.277298,16.464846
3240,-0.17683081,0.020337103,,0.0,-0.30609,0.0
3241,-0.004547877,-1007.7953,-999.0,-999.0,-3.0556686,-1005.3764
