,0,1,2,train_loss,val_loss
127,0.1,16,0.8593,27.970815206247824,25.830653984805814
128,0.03,128,0.5276,,
129,0.008,8,0.9196,37.153768066866604,26.465588712358603
130,0.0003,64,0.5025,33.51935290951153,16.81432469924291
131,0.04,16,0.2412,15.796634444030731,12.739350059187933
132,0.1,8,0.8995,,
133,0.006,32,0.5276,18.874611162983907,17.160644961334764
134,0.04,16,0.7186,,
135,0.006,64,0.8693,15.502615454911158,20.002377270894744
136,0.006,8,0.5276,,
137,0.06,8,0.407,,
138,0.0006,64,0.407,64.10448497924311,39.62537131895621
139,0.002,128,0.9447,2479.781882030184,1671.0915050908925
140,0.03,64,0.0905,,
141,0.0008,32,0.0402,,
142,0.0006,8,0.9045,,
143,0.006,8,0.206,,
144,0.09,64,0.1407,9.877811000932907,9.211792886654536
145,0.06,8,0.799,,
146,0.005,64,0.397,247.9723777369795,131.62500408768653
147,0.03,8,0.7085,16.667077609210168,14.191489963311216
148,0.003,64,0.5678,,
149,0.01,8,0.5628,,
150,0.05,16,0.3668,26.657970947427597,14.86398341026643
151,0.0008,64,0.804,34.51077738607752,22.435349528888864
152,0.09,16,0.392,,
153,0.004,16,0.0251,86.48020868894181,8.109471033920087
154,0.06,128,0.6583,,
155,0.1,16,0.9095,,
156,0.0002,32,0.3568,,
157,0.02,16,0.4925,,
158,0.002,128,0.9296,252.56280412570635,223.8191991790135
159,0.06,128,0.206,,
160,0.004,8,0.6884,,
161,0.008,32,1.0,,
162,0.0008,16,0.2764,103.95939235563918,68.45765278930249
163,0.1,8,0.0251,11.974845120286707,9.736024993813556
164,0.0003,8,0.3317,,
165,0.0003,8,0.5377,,
166,0.001,8,0.0151,,
167,0.005,8,0.7136,,
168,0.001,32,0.9899,35.0507676562153,26.28321584361295
169,0.004,64,0.3417,,
170,0.06,16,0.608,,
171,0.07,32,0.0955,12.998772346955434,11.117039379080138
172,0.0008,16,0.4724,,
173,0.0006,32,0.3216,21.279063367394023,11.854935946601133
174,0.003,128,0.4824,60.674315228313205,32.78058547655742
175,0.006,16,0.995,30.86247381018329,27.83057984818583
176,0.03,8,0.8593,29.79582538881026,
177,0.0003,128,0.1859,1415.5077707074183,1202.6556023035448
178,0.0003,32,0.6533,40.61207097922331,22.668607317650068
179,0.006,128,0.3819,16.605800943503777,10.334789513349532
180,0.007,128,0.2915,62.47513493764401,11.463785179058709
181,0.01,8,0.4523,,
182,0.0004,64,0.8543,20.96500259050007,13.862385722299418
183,0.003,128,0.0,22.12408911944429,7.416074113994837
184,0.0006,64,0.4523,15.515421066232795,14.298003903975092
185,0.001,64,0.0704,,
186,0.0001,32,0.3618,14413.220384192955,667.2751624364964
187,0.004,32,0.2312,12.465725533842944,8.93500611648895
188,0.1,64,0.4925,9.845744899192761,10.848200051238141
189,0.0008,64,0.2915,1115.767725596387,14.667623712569474
190,0.006,16,0.7136,,
191,0.0001,32,0.9296,37.270336424317854,22.755410218331964
192,0.0008,128,0.5126,333.2472719011605,286.2767757821083
193,0.008,64,0.8191,,
194,0.0007,64,0.4121,37.862399979007655,20.728358464439708
195,0.0004,32,0.196,14.899878722932833,11.872459405461948
196,0.0005,128,0.7538,537.3195989187459,547.7817977321148
197,0.03,64,0.4422,,
198,0.0006,128,0.4673,55.23619222070774,21.408633296489715
